"","name","OR","lower","upper","p_value"
"(Intercept)","(Intercept)",6.33607421288059,5.47718730627978,7.32964461250063,8.1918069608883e-37
"age","age",0.942914978648973,0.941603175424372,0.944228609424442,0
"townsend","townsend",1.03487131551085,1.03124971442197,1.03850563514331,1.40617187797209e-22
"n_cancers","n_cancers",0.861028657246521,0.832840620916035,0.890170736129945,6.94797265774269e-06
"whr","whr",2.19360843303415,1.96085464852728,2.4539901318502,2.49914137103924e-12
"edu_levelCollege or University degree","edu_levelCollege or University degree",0.869156293977828,0.81133564963383,0.931097584214636,0.0416457555208116
"edu_levelCSEs or equivalent","edu_levelCSEs or equivalent",1.41796516144978,1.32238057316668,1.52045881487088,5.61640713282842e-07
"edu_levelNone of the above","edu_levelNone of the above",1.46453618815489,1.37152066468448,1.56385995606467,6.08162923339598e-09
"edu_levelNVQ or HND or HNC or equivalent","edu_levelNVQ or HND or HNC or equivalent",1.30065847312219,1.21803253852853,1.38888938529364,6.19878931075784e-05
"edu_levelO levels/GCSEs or equivalent","edu_levelO levels/GCSEs or equivalent",1.0782855982224,1.00977575335345,1.15144360267369,0.250887106217467
"edu_levelOther professional qualifications eg: nursing, teaching","edu_levelOther professional qualifications eg: nursing, teaching",1.04008200689163,0.975618910755631,1.10880444109255,0.539069418161456
"peopleInHousehold","peopleInHousehold",1.0919672055573,1.08335687444018,1.10064597008146,1.07565980765875e-28
"ethnicity_simwhite","ethnicity_simwhite",0.884488494441951,0.85810614495517,0.91168196545319,5.04648683636261e-05
"house_typeA house or bungalow","house_typeA house or bungalow",1.17355259112036,1.13022517694838,1.21854097060891,2.09842080533525e-05
"house_typeCare home","house_typeCare home",4.99193676024045e-05,1.43314453992591e-90,1.7387940939668e+81,0.959892924654895
"house_typeMobile or temporary structure (i.e. caravan)","house_typeMobile or temporary structure (i.e. caravan)",0.506797519867551,0.36413639132671,0.705350336471742,0.039792733629848
"house_typeNone of the above","house_typeNone of the above",0.789832929547058,0.650555577998591,0.958928149561174,0.223913704275143
"house_typeSheltered accommodation","house_typeSheltered accommodation",4.67869824126938e-05,3.95172756896422e-27,553940443789118272,0.84448603525891
"Dem_diagTrue","Dem_diagTrue",2.19654746354325,1.97088580287556,2.44804683891819,3.90380241752821e-13
"copdFalse","copdFalse",0.797882037804911,0.777801274690526,0.818481232889488,8.12703444589086e-19
"copdTrue","copdTrue",0.784749586234247,0.664233406688054,0.92713179869322,0.146006772282819
"ibuprofenTRUE","ibuprofenTRUE",0.970155283318142,0.943016428528403,0.998075161022242,0.28556236061735
